"incidencerate","medincome","povertypercent","studypercap","medianage","pctunemployed16_over","pctprivatecoverage","pctbachdeg25_over","target_deathrate"
489.8,61898,11.2,499.7482038,39.3,8,75.1,19.6,164.9
411.6,48127,18.6,23.11123437,33,7.8,70.2,22.7,161.3
349.7,49348,14.6,47.56016361,45,7,63.7,16,174.7
430.4,44243,17.1,342.6372526,42.8,12.1,58.4,9.3,194.8
350.1,49955,12.5,0,48.3,4.8,61.6,15,144.4
505.4,52313,15.6,180.259902,45.4,12.9,60,11.9,176
461.8,37782,23.2,0,42.6,8.9,49.5,11.9,175.9
404,40189,17.8,0,51.7,8.9,55.8,11.3,183.6
459.4,42579,22.3,0,49.3,10.3,55.5,12,190.5
510.9,60397,13.1,427.7484318,35.8,9.2,69.9,16.2,177.8
413.3,54721,12.7,0,54.4,5.9,67.2,26.2,121.4
499.3,51395,15.7,837.1222691,41,8.2,64.4,15.9,172.7
398.9,52673,12.6,0,45.2,8.3,64.4,14.2,188.3
493.4,71890,9.9,138.5111476,37.6,7.5,73.3,20.9,165.3
440.7,50083,16.3,462.3735856,37.2,8.4,65.2,18.1,171
423.8,43823,19.3,0,46.2,9.4,58.3,10.7,174.2
495.9,61653,11.9,207.7644545,38.5,8.5,74.5,20.3,169.9
463.2,51022,13.9,0,52.1,10.6,64.7,10.1,153.8
442.5,49819,15.7,464.0525042,36.9,6.4,65.7,16.4,162.8
490.9,53733,15.7,249.6655424,36.5,8.2,68.7,21.3,163.3
390.5,41837,28.4,0,24.2,8.8,78.3,25.7,140.8
411,44342,20.5,301.4106016,32.5,9,54.6,9.8,169.4
445.2,35615,21.5,0,41.5,9,55.6,7.9,189.7
463.1,56737,13.2,89.3647063,38.4,9.7,70,12.7,206.1
501.8,37625,22.1,0,41.9,9.2,60.2,5.4,236.7
396.6,33817,22.2,0,44.5,14.4,56.1,8.5,196.3
481.6,43572,15.1,0,45.9,6.4,68.3,11,186.2
483.4,34887,21.9,330.4283177,38.5,6.8,63.3,14.8,194
459.9,32162,21.8,0,47,18.1,52.4,7.6,226.5
591,32961,25.1,4938.271605,43.3,12.3,48.7,5.8,212.9
234,41838,17.4,0,43.7,6.5,55.2,8.8,185.6
457,36739,21.4,0,43.2,9.2,53.4,8.4,217
463.1,32705,28.9,0,38.4,9.4,61.3,9.8,209.9
356.3,41039,17,0,45.6,6.7,65.1,7,128
494.9,36996,21.1,0,45.3,7.2,61.9,11.2,195.1
475.1,35980,21.2,0,44.6,8.1,50.5,6.9,212.1
495,48178,12.9,0,45.6,7.2,69.5,12.6,184.1
374.9,41010,15.3,0,44.5,7.9,65.8,9.3,153
506.6,42121,13.9,160.0838257,42,7.4,64,13.5,206.7
475.8,41121,16.7,0,42.6,6.8,66.9,11.7,194.2
423.7,66950,10.2,0,39.7,8.4,73.3,18.2,178.2
508.7,43936,16.8,191.1517958,42.8,7,66,14.7,205.4
553,40568,20,0,43.3,7.2,56.4,9.3,218.4
513.2,34295,24.4,46.69624095,41.9,10.1,51.7,5.7,226.9
523.9,36437,20.2,28.81263146,42.6,10.9,56.1,5.5,240.1
457.1,24707,34.9,0,44.1,13.3,39.7,3.2,234.8
510.9,43729,17.9,0,41.1,4.9,67.6,14.5,188.8
456.3,43356,15.2,0,44.3,7,70.3,11.4,184.6
463.4,35799,20.6,1146.576913,43,10.3,59.6,7.8,209.5
493.8,35046,20.5,81.74743313,42.3,5.1,56.4,12.5,210
456.6,40012,16.1,0,43.2,8.8,58.6,8.5,198.4
507,29839,28.1,0,41.7,14.1,51.6,5.4,240.8
444.5,43835,22.5,95.9361449,30,5.8,76.5,20.6,155.9
434.6,36351,19.3,0,46.6,7.3,60.5,8.7,190.7
425.4,44446,13,0,46.1,12.3,63.7,11.1,209.7
455.5,36375,19.6,0,43.4,8.4,61.6,8.2,199.8
500.9,40195,18.4,301.8622579,43.3,5.5,70.9,18.7,184.4
381.8,38204,16.7,0,49.1,4.9,59.8,7.3,139.8
458.9,44801,16.5,0,43.6,8.2,71.6,7.3,213.3
384.8,34341,17.6,0,48.4,5.7,60,10,176.8
435.3,41420,17.6,0,42.3,7,63.5,9,169.8
497.2,59472,10,211.0892204,41,3.7,73.6,14.8,171.5
469.6,40270,17.7,12.90156109,41.6,6.6,60.6,12,198.2
405.2,37468,20.8,0,43.2,6.7,59.6,10.6,168.6
502,46383,17.7,0,45.2,10.6,57.4,6.3,214.7
449.2,33041,23.1,0,44.2,8.9,51.6,8.2,204
377.1,32456,25.8,0,46.3,10,60.2,7.6,170.4
400.9,40305,16.8,0,43,9.5,63.7,11.7,172.2
528.4,36466,17.1,0,47.7,7.6,68,7.1,168.1
468.3,41019,15.8,0,46.2,10.9,62.3,7.2,199.1
453.7,38387,19.7,0,41.8,8,59.7,9.3,189.5
433.2,37242,20,24.40750775,42.5,9.9,54.6,7.5,183.8
511.9,29331,26.1,114.2204455,46.3,14.8,45.1,5.3,259.5
514.6,40013,18.5,0,46,8.1,63.5,6,202.6
455.3,38600,20.3,0,45,8.4,61.6,7.8,185.8
488.8,41932,17.2,173.5066858,42.5,8.6,63,12.2,185.5
447.8,34419,22.8,0,42.8,10.1,54.6,4.5,235.4
467.9,42063,17.8,0,51.4,10.1,63.9,8.5,206
451.5,41294,14.9,0,42.2,7.9,62.7,14.6,217.5
412.1,46375,13.7,1097.381647,43.9,6,68.4,10.6,168.4
369.9,44395,13.6,0,50.8,7.2,65.9,18.9,171.7
479.1,54141,12,1213.676667,36.8,6.1,72.5,20,158.6
385.7,50998,10.5,151.6070346,45,3.7,73.4,12.4,166.4
399.2,41810,16.5,0,50.9,7.5,64.2,11.9,190.1
474.1,68430,5.9,0,39,3.1,84.1,20.6,157.9
482.4,52485,10.7,487.9507642,40.6,5.1,73.4,13.5,160.1
455.2,45316,16,0,37.1,4.8,56.6,8.4,157.6
476.1,59020,8.8,0,42,5.8,78.2,15.8,176.6
466.4,43562,14.7,122.0181807,45.9,6.5,67.4,10.1,176.4
430.7,61937,13.4,129.8594653,34.6,4.9,82.5,28.3,153.8
437.3,54359,9.9,0,42,6,77.7,11.5,178.9
449.3,49717,11,1778.326196,51.7,6.2,75.8,19.7,158.7
354.7,46475,13.9,0,40.6,7,66.5,15.4,192.8
396.1,52224,13.9,0,34.1,6.1,72.4,16.2,155.6
440.9,48102,14.4,675.7749376,33.8,5.8,74.8,19.9,163.4
308.2,44562,12.8,0,51.1,7.2,68.9,12,171.9
477,52149,9.9,235.3564179,41,5.3,77.1,14.8,159.4
490.6,41418,17,4306.06161,45.3,10.1,59.8,8.8,166.4
428.2,46972,15,0,36.1,4.6,74.8,13.1,166.9
420,53328,8.7,0,42.2,3.5,78.2,14.8,158.4
356.1,40351,16,191.5708812,46.1,1.4,64.9,17.2,169.9
400.6,43883,12.1,0,49.5,3.1,75.6,10,187.4
221.5,55955,9.2,0,38.8,2.6,76.1,14.2,138.2
432.5,49517,10.7,0,48.9,1.7,74,14.8,120.2
453.6,41344,34,0,28.6,14.4,39.9,9.2,215
350.1,44726,12.3,0,46,1.4,70.5,14.5,156.3
431.4,69191,7.4,0,41.2,1.4,82.4,22.6,159.2
392,53290,13.6,0,30.1,3,82.7,25.8,142.1
495.5,40979,12.7,0,47.5,4.7,69.1,12.9,162.7
389.2,51335,10.6,0,41.3,2,77.4,19,164.7
453.5494221,46840,13.2,0,38.9,11.9,63,10.9,211
453.5494221,51241,15.6,405.2390745,36.4,10.8,62.9,15.1,167.7
453.5494221,60322,10.3,0,49.4,8.5,70.7,16.4,145.2
453.5494221,72648,10.8,0,33.5,5.5,73,12.3,143.2
453.5494221,47180,14,0,46.5,11.9,56.5,12.6,262.1
453.5494221,70535,9.8,0,43.9,4.7,76.4,14.2,178.7
453.5494221,67423,10.7,0,35.3,7.8,69.4,8.8,191.5
453.5494221,74347,11,0,37.2,12,69.1,4.7,123.8
453.5494221,45629,15.1,0,37.4,11.8,64.1,15.9,127.4
